question,contexts,ground_truth,answer
Что делает Дозор?,"['Программный продукт «Дозор. Мониторинг систем безопасности рабочей станции» (далее – ПП) предназначен для автоматизации мониторинга состояния безопасности рабочих станций путём контроля установки и настройки антивирусной защиты, доступа к запрещенным сайтам, а также проведение сканирования и отображение информации об установленном программном обеспечении.']","«Дозор. Мониторинг систем безопасности рабочей станции» предназначен для автоматизации мониторинга состояния безопасности рабочих станций путём контроля установки и настройки антивирусной защиты, доступа к запрещенным сайтам, а также проведение сканирования и отображение информации об установленном программном обеспечении.",Дозор - мониторинг систем безопасности рабочей станции.
Какие модули включает в себя продукт Дозор?,"[' \n        ПП включает в себя три модуля, обладающих следующими функциями:\n•\tМодуль проверки антивирусной защиты ПК:\no\tАвтоматическое формирование перечня установленных на рабочей станции антивирусных программ (пакетов).\no\tАвтоматическое определение и отображение каждой установленной антивирусной программы (пакета).\n•\tМодуль проверки доступа к запрещённым сайтам:\no\tПроверка наличия доступа к интернет-ресурсам, содержащим информацию, запрещённую к распространению в образовательных организациях (далее – «запрещённые интернет-ресурсы»), с текущей рабочей станции.\no\tНастройка параметров проверки:\n\uf0a7\tРасписание проверки: временные интервалы проверки в течение дня, периодичность повторных проверок.\n\uf0a7\tСкорость проверки: низкая, средняя, высокая.\n\uf0a7\tЗадержка между проверками сайтов (в секундах).\no\tЕсли проверка была прервана (например, рабочая станция была выключена до окончания проверки доступности всех интернет-ресурсов из списка), при следующем запуске проверка возобновляется с той позиции в списке, на которой был прерван предыдущий сеанс.\no\tФормирование отчётности о результатах проверки доступа к запрещённым интернет-ресурсам: \n\uf0a7\tСводный отчёт - включает информацию об общем количестве ресурсов в перечне, количестве проверенных ресурсов и количестве доступных интернет-ресурсов из перечня.\n\uf0a7\tДетализированный отчёт – включает перечень всех запрещённых интернет-ресурсов. Для каждого ресурса выводится его доменное имя, дата и время проверки, результат проверки (доступен или не доступен).\no\tСохранение детализированного отчёта в файл в формате CSV.\no\tАвтоматическое обновление перечня запрещённых интернет-ресурсов.\n•\tМодуль проверки программного обеспечения (далее - ПО) на доверие: \no\tПоиск и отображение установленного ПО на ПК пользователя и неизвестного информационной базе ПП.\no\tОтображение пользователю списка, установленного ПО на персональном компьютере пользователя, с известной информацией о них с базы ПП.\no\tВозможность отправки скорректированной записи ПО на рассмотрение оператору по внесению изменений в запись.\no\tВозможность сортировки списков: \n\uf0a7\tПо наименованию ПО.\n\uf0a7\tПо доверию.\no\tОтображение информации о версии используемой информационной базы ПП.\no\tВыгрузка отчетности по ПО, установленному на персональном компьютере пользователя, в формате CSV.\no\tАвтоматизированная загрузка с сервера актуальной базы ПО.\no\tПредоставление вместе с ПП списка базового ПО с дополнительной информацией по программным средствам (может использоваться при запуске программы без Интернет-соединения).\no\tВозможность сокрытия модулей программы через Настройки. \n\u2003\n']","Модуль проверки антивирусной защиты ПК, модуль проверки доступа к запрещённым сайтам,  модуль проверки программного обеспечения (далее - ПО) на доверие","Продукт ""Дозор"" включает в себя три модуля:
1. Модуль проверки антивирусной защиты ПК, который автоматически формирует перечень установленных антивирусных пакетов и отображает каждый из них.
2. Модуль проверки доступа к запрещенным сайтам, который проверяет доступ к запрещенным интернет-ресурсам, позволяет настраивать параметры проверки, формирует отчеты о результатах проверки.
3. Модуль проверки программного обеспечения на доверие, который ищет и отображает установленные пакеты на ПК пользователя, позволяет отправлять скорректированные записи ПО на рассмотрение оператору, предоставляет информацию о версии используемой информационной базы ПП, выгружает отчеты по ПО в формате CSV и обновляет базу ПО с сервера."
Хватит 4 гб оперативки для использования продука Дозор?,"['\n    2\tТехнические требования\nОперационная система\nWindows, поддерживающая .NET 5: \n•\tWindows 10\n\nLinux, поддерживающая .NET 5: \n•\tAlt Linux Рабочая станция 9\n•\tAlt Linux Рабочая станция 10\n•\tAlt Linux Образование 9\n•\tAlt Linux Образование 10\n•\tASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»\nПроцессор: \nот 1 ГГц\nОперативная память\nРекомендуемый объём ОЗУ: 8 Гб.\nЖесткий диск\nдля установки и работы ПП требуется наличие свободного места размером не менее 300 МБ на диске.\nНаличие доступа в Интернет:\nДля обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.\nДля установки и настройки ПП компьютер должен быть оснащён манипулятором «мышь».\n\n    ']",Нет. Для работы программного продукат дозор рекомендуется использовать минимум 8Гб ОЗУ. ,"Да, хватит 4 гб оперативной памяти для использования продукта Дозор, так как рекомендуемый объем ОЗУ для работы программных компонентов составляет 400-500 Мб, и для корректной работы СЗД рекомендуется иметь не менее 4 Гб оперативной памяти."
Сколько весит Дозор?,"['\n    2\tТехнические требования\nОперационная система\nWindows, поддерживающая .NET 5: \n•\tWindows 10\n\nLinux, поддерживающая .NET 5: \n•\tAlt Linux Рабочая станция 9\n•\tAlt Linux Рабочая станция 10\n•\tAlt Linux Образование 9\n•\tAlt Linux Образование 10\n•\tASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»\nПроцессор: \nот 1 ГГц\nОперативная память\nРекомендуемый объём ОЗУ: 8 Гб.\nЖесткий диск\nдля установки и работы ПП требуется наличие свободного места размером не менее 300 МБ на диске.\nНаличие доступа в Интернет:\nДля обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.\nДля установки и настройки ПП компьютер должен быть оснащён манипулятором «мышь».\n\n    ']",Для установки и работы ПП Дозор требуется наличие свободного места размером не менее 300 МБ на диске.,"Для работы программных компонент, входящих в состав СЗД, требуется до 400-500 Мб оперативной памяти. Рекомендуемый объем ОЗУ для работы СЗД - 4 Гб."
Почему не обновляются информационные базы в  Дозор?,"['\n    2\tТехнические требования\nОперационная система\nWindows, поддерживающая .NET 5: \n•\tWindows 10\n\nLinux, поддерживающая .NET 5: \n•\tAlt Linux Рабочая станция 9\n•\tAlt Linux Рабочая станция 10\n•\tAlt Linux Образование 9\n•\tAlt Linux Образование 10\n•\tASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»\nПроцессор: \nот 1 ГГц\nОперативная память\nРекомендуемый объём ОЗУ: 8 Гб.\nЖесткий диск\nдля установки и работы ПП требуется наличие свободного места размером не менее 300 МБ на диске.\nНаличие доступа в Интернет:\nДля обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.\nДля установки и настройки ПП компьютер должен быть оснащён манипулятором «мышь».\n\n    ']","Для обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.","Информационные базы в Дозор не обновляются, потому что пробное раскрытие архивов доступно только для архивирующих наборов файлов, а не для информационных баз SQL."
Как установить дозор на macos?,"['\n    2\tТехнические требования\nОперационная система\nWindows, поддерживающая .NET 5: \n•\tWindows 10\n\nLinux, поддерживающая .NET 5: \n•\tAlt Linux Рабочая станция 9\n•\tAlt Linux Рабочая станция 10\n•\tAlt Linux Образование 9\n•\tAlt Linux Образование 10\n•\tASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»\nПроцессор: \nот 1 ГГц\nОперативная память\nРекомендуемый объём ОЗУ: 8 Гб.\nЖесткий диск\nдля установки и работы ПП требуется наличие свободного места размером не менее 300 МБ на диске.\nНаличие доступа в Интернет:\nДля обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.\nДля установки и настройки ПП компьютер должен быть оснащён манипулятором «мышь».\n\n    ']","К сожалению вы не сможете установить ПП Дозор на устройство с оп MacOS, поддерживаемые опреационные системы: 
        Операционная система Windows, поддерживающая .NET 5: 
            •	Windows 10

        Linux, поддерживающая .NET 5: 
        •	Alt Linux Рабочая станция 9
        •	Alt Linux Рабочая станция 10
        •	Alt Linux Образование 9
        •	Alt Linux Образование 10
        •	ASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»
        ","Для установки программы ""Дозор. Мониторинг систем безопасности рабочей станции"" на macOS необходимо выполнить инструкцию по установке, которая включает в себя следующие шаги:
1. Запустить Менеджер Хранителя.
2. Перейти на корневой элемент ""Admin"".
3. Выбрать команду ""Параметры"" из меню ""Разделы"".
4. Ввести пароль в поля ""Пароль"" и ""Подтверждение пароля"".
5. Закрыть диалог.
После установки пароля для входа в программу, следует продолжить выполнение инструкции по установке программы ""Дозор"" на macOS."
Программ дозор лагает !,"['\n    2\tТехнические требования\nОперационная система\nWindows, поддерживающая .NET 5: \n•\tWindows 10\n\nLinux, поддерживающая .NET 5: \n•\tAlt Linux Рабочая станция 9\n•\tAlt Linux Рабочая станция 10\n•\tAlt Linux Образование 9\n•\tAlt Linux Образование 10\n•\tASTRA LINUX COMMON EDITION РЕЛИЗ «ОРЕЛ»\nПроцессор: \nот 1 ГГц\nОперативная память\nРекомендуемый объём ОЗУ: 8 Гб.\nЖесткий диск\nдля установки и работы ПП требуется наличие свободного места размером не менее 300 МБ на диске.\nНаличие доступа в Интернет:\nДля обновления информационных баз, используемых ПП, и их последующей проверки требуется интернет-соединение со скоростью от 64 Кбит/сек.\nДля установки и настройки ПП компьютер должен быть оснащён манипулятором «мышь».\n\n    ']","
        Возможно это связано недостаточностью ресурсов устройства на которой установлена программа. 
        Убедитесь что ваше устройство соответвует техническим требованиям:
        
        Процессор -   от 1 ГГц
        Оперативная памят -  Рекомендуемый объём ОЗУ: 8 Гб.
        Жесткий диск - наличие свободного места размером не менее 300 МБ на диске.
        Наличие доступа в Интернет -  для обновления информационных баз, используемых ПП, и их последующей проверки. 
        ","Для решения проблемы с лагами программы ""Дозор"" можно попробовать следующие действия:
1. Убедитесь, что ваш компьютер соответствует рекомендуемым требованиям, включая объем ОЗУ (8 Гб) и версию операционной системы.
2. Проверьте, нет ли других программ, которые могут замедлять работу ""Дозора"".
3. Попробуйте перезагрузить компьютер и запустить программу снова.
4. Если проблема сохраняется, обратитесь в службу поддержки программы для получения дополнительной помощи или инструкций по устранению неполадок."
Что я получу после оплаты продукта дозор?,['\n                ПП поставляется в электронном виде и включает в себя следующий набор файлов:\n                    •\tDozor_setup_1.0.0.0.exe  – установщик ПП.\n                    •\tРуководство пользователя (данный документ).\n                Электронная почта для вопросов по продукту: info@cr-obr.ru. \n        '],"
                ПП поставляется в электронном виде и включает в себя следующий набор файлов:
                    •	Dozor_setup_1.0.0.0.exe  – установщик ПП.
                    •	Руководство пользователя (данный документ).
                Также вы можете получить консульатцию - Электронная почта для вопросов по продукту: info@cr-obr.ru. 
        ","После оплаты продукта ""Дозор"" вы получите программный продукт ""Дозор. Мониторинг систем безопасности рабочей станции""."
Что я получу после оплаты продукта дозор?,['\n                ПП поставляется в электронном виде и включает в себя следующий набор файлов:\n                    •\tDozor_setup_1.0.0.0.exe  – установщик ПП.\n                    •\tРуководство пользователя (данный документ).\n                Электронная почта для вопросов по продукту: info@cr-obr.ru. \n        '],"
                ПП поставляется в электронном виде и включает в себя следующий набор файлов:
                    •	Dozor_setup_1.0.0.0.exe  – установщик ПП.
                    •	Руководство пользователя (данный документ).
                Также вы можете получить консульатцию - Электронная почта для вопросов по продукту: info@cr-obr.ru. 
        ","После оплаты продукта ""Дозор"" вы получите программный продукт для мониторинга систем безопасности рабочей станции, а также руководство по установке и эксплуатации."
Что такое медленные режим проверки в  дозор?,"['\n            При первом запуске программы на каждом компьютере необходимо настроить параметры и расписание проверки. В дальнейшем эти параметры можно изменять только в случае необходимости. \n            Для настройки параметров необходимо в главном окне программы нажать «Настройки». После чего откроется окно настроек.\n            В окне настроек необходимо выбрать один из режимов проверки (по умолчанию - медленный):\n            •\tМедленный – проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится.\n            •\tОбычный – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов зависит от количества физических ядер процессора), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n            •\tБыстрый – проверка будет происходить по нескольким сайтам одновременно (кол-во одновременно проверяемых сайтов равно количеству ядер процессора, умноженному на 4), время проверки уменьшится, нагрузка на сеть и компьютер увеличится.\n\n        ']","
                Медленный режим означает, что проверка сайтов будет происходить поочередно, время проверки увеличится, нагрузка на сеть и компьютер уменьшится.
        ","Медленный режим проверки в ""Дозор"" - это режим, в котором программа осуществляет более тщательную проверку данных перед их архивированием, что может замедлить процесс работы, но повысить надежность и точность архивирования."
